name,sentence
24_v_24_3,ايه.
54_v_54_4,طبعا أشكركم جدا على اهتمامكم وعلى الأسئلة التي طرحتموها لي على صفحتي على الفيسبوك.
50_v_50_18,بالنسبة للفلمتر طلع ممل.
1_v_1_3,فأنا الحقيقة مبسوطة جدا بالتحدي دا.
63_v_63_0,واحد من أساطير الاجتهلات الدينية تاريخيا.
61_v_61_4,دغيه أسطوري ما شاء الله تبارك الله.
4_v_4_6,المميز في هذه الدوره يا صديقي المتابع.
6_v_6_7,أنا تبي تحط زبالة يا زبالة.
56_v_56_5,شيء جميل إنك تشوفه من ناحية إنسانية.
18_v_18_0,تقييمي لها إن هي رواية كئيبة.
66_v_66_2,أفضل ممثله رئيسيه أتوقع كيت بلانشيت وأتمناه لكيت بلانشيت.
59_v_59_7,كنت أحس نفسي مأسور.
4_v_4_12,دقني حتستمتع.
4_v_4_10,تخيل يا صديقي متابع هذا الكتاب باجيله سبعطعشر سنه بس ويكمل قرن.
14_v_14_4,فإن لا له من خزي.
24_v_24_1,انستغرام بالنسبة لي هو حديقة الصور.
2_v_2_6,نبدأ نشوف وجهم جدا جميل.
69_v_69_2,والله العظيم بتنسمون.
10_v_10_4,أنا قررت قرار اليوم إني أنهي حياتي.
38_v_38_0,يشهد الله علي أن الرصيف اللي تحتي إني أحس انه مهتز.
6_v_6_9,خالتي واش عقل.
6_v_6_4,أنا مرة معجب في شخصية ساسكي في ب انيمي بورتو.
50_v_50_3,أحببت جرسك ورد الأولي.
70_v_70_11,تبدأ تفقد هذا الدافع فيها ما عاد تبغى ماشي مع خلاص الوجبه مع.
28_v_28_3,من الشباب أصدقائي قدماء سأس معهم وتونس معهم أضحك معهم.
7_v_7_0,أنا مهتم بها الموضوع من زمان.
60_v_60_2,ما يصحصحوا وما يصحوا إلا بدش بارد يهز بدنهم هز لأنه لا القهوة بتصحيهم ولا كفين حتى يصحوهم.
36_v_36_1,لكن بسبب ظنوننا السيئة هذه العلاقات كلها انتهت.
9_v_9_3,شوف عزيز المتابع شوف شوف الإبداع شوف الإبداع.
50_v_50_19,ما استمتعت فيه.
70_v_70_3,طريقة إلقاء المعلومات اللي من دون تفاصيل هذه ما تعجبني.
72_v_72_3,يقول يا ليتني قدمت لحياتي.
60_v_60_0,وبعدين تبدأ الرحلة الرائعة لكل أم.
41_v_41_13,ولست راضيا عن نفسي.
59_v_59_3,لما رجعت تأكل الأكل الطبيعي صرت تستمتع فيه.
12_v_12_3,فهذا يدل أن عندنا مخرج عبقري.
50_v_50_4,ما أعجبني وايد.
4_v_4_5,كانت دوره ممتعه ممتعه رهيبة جدا جدا.
40_v_40_2,أقرأه بطريقة مذيعي لندن.
32_v_32_2,فجأة هجم علي هجمه مرتده تلفظ على أهلي وعلى والدي وعلي شخصيا ودعاء.
1_v_1_6,أنا أصلا زهقت من الطول.
70_v_70_7,الدوفامين هو البنزين يا صديقي العسل.
63_v_63_1,هذه السيدة غريبة جدا.
22_v_22_3,أول يوم لي مع قراءة صورة البقرة كان هو أصعب يوم وأفضل يوم صراحة.
17_v_17_7,إحنا اصطدمنا شوي.
44_v_44_0,يعني ما أقدر أعطيك قمامه أقلك سوي أكل لذيذ فهمت قصدي.
4_v_4_3,هذا الكتاب كان منعطف في حياتي وانا متأكد انه راح يكون منعطف في حياتك.
16_v_16_2,الشعوب المهزوزة ثقافيا وتاريخيا.
50_v_50_11,ها الشخصية دي إن كتب طريقة إنها تكون مزعجة.
2_v_2_2,لأني كنت أستعر وأخجل من أني أعترف بالشيء هذا.
26_v_26_0,يبدو أنه اشتد عليه مرض معين فسقط مشلول يعني.
5_v_5_5,هنا حلو حبيت الشيء تبعه حسيته كثير مناسب ليلي.
9_v_9_8,حاجه مره حلوه كذه وفخمه.
38_v_38_2,أيام كرون الله لاعيد على عينه ان شاء الله.
37_v_37_1,لا أعلم إذا كانت تزعجني لوحدي.
3_v_3_8,وكانت كتاباته جدا سيئه ومؤلفاته ركيكه يا صديقي المتابع.
71_v_71_4,يكون الله هو حبيبك الأول.
5_v_5_9,شغلة صراحة صدمتني ما توقعتها هيك.
11_v_11_2,السلطه الفوق من أحلى السلطات اللي تاكلها في حياتك.
43_v_43_2,زوجها هي كلها وجهك صار كنا واشكرت.
25_v_25_5,أصبح في نوع من التباعد.
14_v_14_1,يا الله قبل هذا صعب.
3_v_3_12,شوي يقول أوه خليها تولي يا رجال.
2_v_2_4,وقال كلمه هنا خطيره خطيره خطيره جدا.
4_v_4_1,الكتاب الممتع جدا.
47_v_47_0,بكره الفاتحة أو الطالعة اللي بتبقى كده على الشارع بتوت.
12_v_12_2,مشهد مقزز جدا.
38_v_38_4,أنه مش عيون اللي تدمه أنه قلب اللي يدمه.
70_v_70_0,الشغف أحد أقوى وأعمق أسرار الحياه.
57_v_57_2,لأنه شاف بيوم من الأيام منظر جدا مرعب.
11_v_11_8,الآن حبيب القلب الوحش الشيخ الكبير.
