10_v_10_0,والحمد لله.
10_v_10_1,أنا كنت أعاني من مشاكل.
10_v_10_2,ما لقيتها للأمانة.
10_v_10_3,قال لي كلام كان ثقيل على صدري للأمانة.
10_v_10_4,أنا قررت قرار اليوم إني أنهي حياتي.
10_v_10_5,من أكثر الناس نجاحا.
10_v_10_6,فكان شوي موضوعي زائل.
11_v_11_0,هذا كل حاجه فيه حلوه.
11_v_11_1,العيش مره حلو.
11_v_11_11,من أحلى المطاعم اللي تأكل منها.
11_v_11_2,السلطه الفوق من أحلى السلطات اللي تاكلها في حياتك.
11_v_11_3,دجاج مبهر بالطريق هنا. والله مره حلو.
11_v_11_4,والبطاطس الله الله أصلا شوف كيف البطاطس.
11_v_11_5,شوف هذا أنا قصة عشق مع الله يعشق.
11_v_11_6,هم فخم والله فخم.
11_v_11_8,والله ما فهمت ولا شي بس شكله مستمتع.
11_v_11_9,الآن حبيب القلب الوحش الشيخ الكبير.
12_v_12_0,يشعرني بالسعادة.
12_v_12_1,واللي كل فيلم من أعماله يعتبر كأنه لوحة تشكيلية.
12_v_12_2,مشهد مقزز جدا.
12_v_12_3,فهذا يدل أن عندنا مخرج عبقري.
12_v_12_4,قدم أداء حرفيا خرافي.
13_v_13_0,له قوة في التعبير هائلة.
13_v_13_1,يبرع في المديح.
13_v_13_2,رمي على دفة حتى التقطه بعض أهل البصرة ودفنوه.
14_v_14_0,وأنا في شدة الرعب لأن أتعلم.
14_v_14_1,يا الله قبل هذا صعب.
14_v_14_2,يد الفضايح كفضيحة يا مولاي.
14_v_14_3,جميل، لا ده فضايح جميل نعم حلو يجرى كده.
14_v_14_4,فإن لا له من خزي.
14_v_14_6,يا الله يعني إيه لله أفرحه بثوبة عبده المؤمن.
15_v_15_0,مجموعة من المغالطات التي لا أكاد أحصيها وأعدها.
15_v_15_1,هذه سياسة دولة لا هي سياسة لا شخص ولا شخصين.
15_v_15_2,قرأنا بعض الترهات في الصحافة المغربية للأسف الشديد.
15_v_15_3,توهمات.
16_v_16_0,السيد المسيح كان في فلسطين وليس في السويد والنرويج.
16_v_16_3,يغرقون في حب ثقافة هذا البلد.
16_v_16_4,الشعوب المهزوزة ثقافيا وتاريخيا.
17_v_17_0,يصتني بكف.
17_v_17_1,يحط كفم ثاني.
17_v_17_10,الوالد شوي تعبان.
17_v_17_2,لو فتحت هم يتكلمت يعني بنضرب.
17_v_17_4,خليهم يضحكون معي ولا باكن علي.
17_v_17_5,أستطيع أني أبدأ بها جديد.
17_v_17_6,لحد رجعت لي أقوى.
17_v_17_7,أنا خفت أنا أول مرة أشوف شخص يتأتئ بهذه الشدة هذه.
17_v_17_8,إحنا اصطدمنا شوي.
17_v_17_9,وأنا من النوع اللي ما يتقبل الخسارة في قلب الرحم.
18_v_18_0,تقييمي لها إن هي رواية كئيبة.
18_v_18_1,أنا شايفة أن عنوان الرواية كان عبقري جدا.
19_v_19_0,هذا الفيلم من الأفلام اللي كنت ننتظرها.
19_v_19_1,أنه كان في حاجة غامضة في حاجة مثيرة ومشوقة ومختلفة.
19_v_19_10,وأكثر التعليقات اللي ضحكتني شخصيا.
19_v_19_10 (1),وأكثر التعليقات اللي ضحكتني شخصيا.
19_v_19_11,كل تعليقاته فلسفية وساحرة.
19_v_19_12,الجو الحام للفيلم يا جماعه كان ممتع.
19_v_19_13,أنا ما حسيت بلحظة ملل من البدايه للأخير.
19_v_19_14,حبيت الفيلم جدا.
19_v_19_15,إن حبيت التفاصيل اللي رح لحقت.
19_v_19_2,التريال عجبني لكن لو ما شفته للآن لا تشوف.
19_v_19_3,عبارة عن تجربة فريدة بمعنى الكلمة.
19_v_19_4,يا رباه على الحوار والكلمات المستخدمه فيه.
19_v_19_5,تعليقات ساخرة كوميديه عجيبة.
19_v_19_6,قدم الثنائية والأروع.
19_v_19_7,كان بطل الفيلم بكل جدارة.
19_v_19_8,يا رباه على التمثيل وعشيه المختلف اللي اعطانا ياه.
19_v_19_9,مخيف.
1_v_1_0,البيب قات كان هيو أف جويز.
1_v_1_1,الجو النهارده مش طبيعي إزاي حلو.
1_v_1_2,متحمسة جدا.
1_v_1_3,فأنا الحقيقة مبسوطة جدا بالتحدي دا.
1_v_1_4,كوبايز بجد من أحلى الأماكن اللي بيعملوا الشوكين تندرز حلوة جدا.
1_v_1_5,حابة شكل إيدي كده أكتر من لما أكون.
1_v_1_6,أنا أصلا زهقت من الطول.
20_v_20_0,إلا وهي اجلس لي.
20_v_20_1,صورة واقعية يمكن إسقاطها على أرض الواقع.
20_v_20_2,أنا أدعوك إلى إعادة.
21_v_21_0,أصابتني رهبة شديدة.
21_v_21_1,خوف ما أعرف إيش حيصير يعني.
21_v_21_3,آه ويقولوا لي كلام يعني مو زين.
22_v_22_0,أنه منصة اليوتيوب من أحسن المنصات.
22_v_22_1,لأنها حرفيا غيرت حياتي بإذن الله.
22_v_22_2,من أجمل الآيات اللي نسمعهم بالذات في هذه الصورة.
22_v_22_3,أول يوم لي مع قراءة صورة البقرة كان هو أصعب يوم وأفضل يوم صراحة.
22_v_22_5,يا ربي نحمدك وشكرا.
23_v_23_0,السيد المسيح كان في فلسطين وليس في السويد والنرويج.
23_v_23_3,يغرقون في حب ثقافة هذا البلد.
23_v_23_4,الشعوب المهزوزة ثقافيا وتاريخيا.
24_v_24_0,أنا شخصيا لا أحب تويتر.
24_v_24_1,انستغرام بالنسبة لي هو حديقة الصور.
24_v_24_2,وكلام كله بهذه السطحية.
24_v_24_3,ايه.
24_v_24_4,هل يوجد من البشر من يقرأ هذا.
25_v_25_0,ما في شك أن الحياة المعاصرة الآن أثرت كثيرا.
25_v_25_13,مولم حقي.
25_v_25_14,ترى حنا استفدنا منكم حنا اتعلمنا عليكم.
25_v_25_15,أنتم لكم الفض علينا.
25_v_25_2,أصبح التواصل بين الناس تواصل الحوار الأخذ والعطاء والسوالف وكذا ما في.
25_v_25_3,أصبحت القدرة على السرد غير موجودة.
25_v_25_4,فهذه أضرت بقدرتنا على التواصل المباشر، قدرتنا على التعبير حتى عن مشاعرنا.
25_v_25_6,فأصبح في نوع من الصمت بيننا.
25_v_25_7,أصبح في نوع من التباعد.
25_v_25_8,أكثر الحالات اللي تؤلمني أنا حقيقة لما.
25_v_25_9,ومصاب بحالة أنا أعرف أن الحالة هذه من الحالات المزمنة السيئة.
26_v_26_0,يبدو أنه اشتد عليه مرض معين فسقط مشلول يعني.
26_v_26_1,كأن في طريق حياة انفجرت قنبلة.
26_v_26_2,أنت مفصولة.
26_v_26_4,طلعت حزينه طلعت مرتبكه.
27_v_27_0,أرض غريبة عجيبة.
27_v_27_0 (1),أرض غريبة عجيبة.
27_v_27_1,برواية رائعة جدا جدا.
27_v_27_2,مشوقة ومليئة بالخيال.
28_v_28_0,هي ما تتحمل أو ما تقدر تأكل مثلا فتره معينه.
28_v_28_1,فبدايتها تكون صعبه طبعا.
28_v_28_2,أروح البيت أضحك مع عيالي.
28_v_28_3,من الشباب أصدقائي قدماء سأس معهم وتونس معهم أضحك معهم.
28_v_28_4,والثانية في المستشفى توفى.
28_v_28_4 (1),والثانية في المستشفى توفى.
28_v_28_5,لا يؤمن هذا ما أن شاء.
